# Sensor type: Thingy
# Activity type: Running
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1695310735154,-0.25097656,-0.17871094,0.46972656,104.71875,19.5,13.59375,0.0,0.0,0.0
1695310735194,-0.3486328,-0.20410156,0.38964844,-46.28125,55.9375,56.0,0.0,0.0,0.0
1695310735234,-0.19921875,0.15527344,-0.57421875,-196.96875,67.96875,93.78125,0.0,0.0,0.0
1695310735274,-0.28027344,-1.0214844,0.2919922,-53.90625,104.09375,67.90625,0.0,0.0,0.0
1695310735314,-1.3339844,-0.29492188,0.33203125,-63.6875,61.0625,22.5,0.0,0.0,0.0
1695310735354,-0.22851562,0.42773438,0.19433594,-78.375,4.375,82.9375,0.0,0.0,0.0
1695310735394,-1.7792969,0.22460938,-0.07128906,-120.6875,29.28125,117.53125,-35.25,-11.1875,-112.5625
1695310735434,-1.7304688,-0.53808594,-0.32714844,-100.96875,37.09375,160.1875,0.0,0.0,0.0
1695310735474,-1.9697266,-0.9482422,-0.55566406,94.15625,56.25,193.78125,0.0,0.0,0.0
1695310735514,-1.9697266,-0.96191406,0.6894531,4.9375,104.96875,198.78125,0.0,0.0,0.0
1695310735554,-0.9824219,-0.0546875,0.38085938,-71.625,57.96875,57.34375,0.0,0.0,0.0
1695310735594,-0.12402344,-0.25390625,0.12890625,-34.875,5.40625,56.3125,0.0,0.0,0.0
1695310735634,0.053710938,-0.9140625,-0.40234375,-78.4375,-48.0,-1.125,0.0,0.0,0.0
1695310735674,0.5839844,-0.98535156,0.39941406,51.1875,-22.65625,-53.40625,0.0,0.0,0.0
1695310735714,-0.3876953,-0.1171875,0.19042969,-5.3125,-26.03125,-136.84375,0.0,0.0,0.0
1695310735754,-0.4296875,0.16113281,0.0078125,58.6875,-92.375,-124.96875,0.0,0.0,0.0
1695310735794,-1.9697266,-0.39257812,-0.05078125,127.71875,-99.5,-263.6875,0.0,0.0,0.0
1695310735834,-1.9697266,-0.0029296875,0.28808594,-262.53125,-108.96875,-162.625,0.0,0.0,0.0
