# Sensor type: Respeck
# Activity type: Sitting
# Activity subtype: Normal
# Subject id: s2094705
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1695828853723,0.45117188,-0.7752075,-0.3904419,-2.4375,-2.875,-0.765625
1695828853763,0.39746094,-0.81915283,-0.43804932,-2.578125,-1.765625,-0.71875
1695828853803,0.42919922,-0.82037354,-0.37994385,-1.046875,-2.0,-1.140625
1695828853843,0.41723633,-0.7876587,-0.42315674,-2.1875,-1.796875,0.375
1695828853883,0.40478516,-0.8110962,-0.42559814,-1.140625,-0.109375,-0.078125
1695828853923,0.41552734,-0.79815674,-0.42144775,0.671875,2.625,1.40625
1695828853963,0.42626953,-0.798645,-0.41290283,0.0,1.75,1.09375
1695828854003,0.3947754,-0.81451416,-0.4192505,0.40625,0.859375,1.53125
1695828854043,0.42504883,-0.8069458,-0.40899658,-0.796875,1.859375,0.265625
1695828854083,0.40795898,-0.82403564,-0.41485596,-1.40625,1.25,0.859375
1695828854123,0.39941406,-0.8128052,-0.41436768,-0.640625,2.53125,0.28125
1695828854163,0.42211914,-0.8045044,-0.41558838,-0.453125,0.96875,1.421875
1695828854203,0.42333984,-0.80303955,-0.4121704,-0.796875,1.109375,0.515625
1695828854243,0.41748047,-0.80352783,-0.42437744,-0.078125,-0.375,1.203125
1695828854283,0.42651367,-0.79034424,-0.4133911,0.75,-0.859375,0.9375
1695828854323,0.42236328,-0.8088989,-0.41827393,-0.140625,-0.109375,0.75
1695828854363,0.42504883,-0.7937622,-0.40216064,1.625,-2.328125,0.875
1695828854403,0.43554688,-0.80718994,-0.42340088,-0.390625,-0.015625,1.140625
1695828854443,0.40942383,-0.8076782,-0.41046143,0.515625,-0.171875,0.71875
1695828854484,0.42285156,-0.8069458,-0.42144775,0.171875,0.375,0.40625
1695828854524,0.42211914,-0.78448486,-0.41680908,0.625,0.578125,0.46875
1695828854564,0.42456055,-0.7979126,-0.42633057,0.21875,0.234375,0.609375
1695828854604,0.43408203,-0.7918091,-0.42242432,0.953125,-0.421875,0.453125
1695828854644,0.42700195,-0.7984009,-0.41851807,-0.640625,-0.71875,0.390625
1695828854684,0.43676758,-0.78790283,-0.41973877,0.453125,-0.640625,0.609375
